City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
308,Coracao De Maria,BR,80.98,broken clouds,-12.2333,-38.75,Pousada de Dona Bó
316,Meulaboh,ID,74.32,light rain,4.1363,96.1285,Kost Pria
317,Poso,ID,77.92,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
318,Guangzhou,CN,75.87,clear sky,23.1167,113.25,Shangjiuwan Hotel
320,Lafiagi,NG,84.81,broken clouds,8.8667,5.4167,Bus group international
326,Casa Nova,BR,89.96,few clouds,-9.4167,-41.1333,LÔRO BEACH. DUNAS
332,Omboue,GA,74.73,overcast clouds,-1.5746,9.2618,Hotel Olako
333,Victoria,HK,75.94,clear sky,22.2855,114.1577,Mini Central
344,Tabou,CI,78.1,broken clouds,4.423,-7.3528,hotêl doufoulougou
346,Denpasar,ID,80.26,few clouds,-8.65,115.2167,OYO 3156 Hotel Warta Dua
350,Mabaruma,GY,79.12,moderate rain,8.2,-59.7833,Monty Brooms Guest House
352,Sinnamary,GF,81.77,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
353,Liwale,TZ,72.45,few clouds,-9.7667,37.9333,Tumaini Tulivu Lodge
354,Destin,US,77.92,overcast clouds,30.3935,-86.4958,Wingate by Wyndham Destin
362,Quelimane,MZ,78.75,few clouds,-17.8786,36.8883,Hotel Flamingo
365,Maumere,ID,80.49,overcast clouds,-8.6199,122.2111,Sylvia Hotel
368,Beira,MZ,80.69,few clouds,-19.8436,34.8389,Beira Terrace Hotel
371,Ormara,PK,80.02,clear sky,25.2088,64.6357,Kenara Colony House for Rent
374,Loiza,PR,84.2,scattered clouds,18.4313,-65.8802,Vacation Realty
375,Gusau,NG,78.17,clear sky,12.1628,6.6614,GUEST INN
379,Dong Hoi,VN,74.93,overcast clouds,17.4833,106.6,Nam Long Hotel
382,Garowe,SO,74.91,clear sky,8.4054,48.4845,Sacaada Hotel
383,Tautira,PF,76.21,light rain,-17.7333,-149.15,Pension Oaoa
384,Veraval,IN,77.85,clear sky,20.9,70.3667,Lords Inn Somnath
394,Ixtapa,MX,81.63,clear sky,20.7,-105.2,hotel la terminal
